--time	Susceptibles	Infected	Recovered	Deaths	
0	753056	2714	0	72	
0.25	752501.2	3195.102	0.0003655222	145.7008	
0.5	751848.6	3760.922	0.000795807	232.4597	
0.75	751081.3	4426.158	0.001302246	334.5737	
1	750179.3	5207.978	0.001898202	454.7372	
1.25	749119.5	6126.396	0.002599341	596.1087	
1.5	747874.9	7204.704	0.003424005	762.3869	
1.75	746414.2	8469.946	0.004393655	957.8988	
2	744700.9	9953.441	0.005533362	1187.7	
2.25	742693	11691.34	0.006872377	1457.687	
2.5	740342.1	13725.21	0.008444759	1774.729	
2.75	737592.5	16102.66	0.01029009	2146.806	
3	734380.9	18877.87	0.01245426	2583.171	
3.25	730635.3	22112.18	0.01499032	3094.519	
3.5	726274.4	25874.43	0.01795937	3693.173	
3.75	721207.5	30241.21	0.02143154	4393.272	
4	715334.3	35296.73	0.02548693	5210.966	
4.25	708545	41132.35	0.03021653	6164.602	
4.5	700721.7	47845.42	0.03572305	7274.888	
4.75	691739.5	55537.47	0.04212153	8565.024	
5	681469.8	64311.38	0.04953976	10060.77	
5.25	669784	74267.51	0.05811813	11790.44	
5.5	656558.6	85498.54	0.06800909	13784.77	
5.75	641682.2	98083.03	0.07937577	16076.65	
6	625063.3	112077.9	0.09238976	18700.68	
6.25	606639.4	127510	0.107228	21692.53	
6.5	586386.5	144367.3	0.1240683	25088.07	
6.75	564328.7	162590.9	0.1430843	28922.29	
7	540545.7	182068.1	0.164439	33228.07	
7.25	515178	202629.1	0.1882779	38034.74	
7.5	488428.5	224046.6	0.2147219	43366.68	
7.75	460559	246040.9	0.2438603	49241.89	
8	431881.6	268289.3	0.275745	55670.85	
8.25	402745.3	290440.8	0.3103859	62655.55	
8.5	373519.2	312133.4	0.3477487	70189.06	
8.75	344572.8	333013.3	0.3877543	78255.44	
9	316257.8	352753.5	0.4302813	86830.22	
9.25	288890.5	371069.8	0.4751702	95881.24	
9.5	262738.9	387732.6	0.5222297	105369.9	
9.75	238014.9	402573.8	0.5712437	115252.7	
10	214870.3	415488.5	0.6219791	125482.5	
10.25	193398.7	426432	0.6741938	136010.7	
10.5	173639.7	435413.8	0.7276434	146787.8	
10.75	155587.1	442488.6	0.7820877	157765.4	
11	139197	447747.1	0.8372954	168897.1	
11.25	124396.5	451305.9	0.8930485	180138.6	
11.5	111093	453298.7	0.9491443	191449.3	
11.75	99180.74	453868.5	1.005398	202791.7	
12	88547.6	453161.2	1.061641	214132.1	
12.25	79079.84	451320.7	1.117724	225440.3	
12.5	70665.89	448485.1	1.173517	236689.8	
12.75	63198.96	444784.4	1.228903	247857.4	
13	56578.73	440339.1	1.283782	258922.9	
13.25	50712.44	435259.2	1.338071	269869.1	
13.5	45515.29	429643.9	1.391695	280681.4	
13.75	40910.5	423582.5	1.444594	291347.6	
14	36829.09	417154	1.496718	301857.4	
14.25	33209.46	410428.2	1.548027	312202.8	
14.5	29996.89	403466.6	1.598486	322376.9	
14.75	27142.93	396322.8	1.64807	332374.6	
15	24604.85	389043.5	1.696759	342191.9	
15.25	22345.01	381669.3	1.74454	351826	
15.5	20330.34	374235	1.791402	361274.9	
15.75	18531.8	366770.9	1.83734	370537.5	
16	16923.94	359302.8	1.882353	379613.4	
16.25	15484.43	351852.9	1.92644	388502.8	
16.5	14193.72	344440	1.969606	397206.3	
16.75	13034.65	337080.1	2.011855	405725.2	
17	11992.17	329786.9	2.053197	414060.9	
17.25	11053.1	322571.6	2.093638	422215.2	
17.5	10205.85	315443.8	2.133191	430190.2	
17.75	9440.239	308411.4	2.171865	437988.2	
18	8747.317	301480.8	2.209674	445611.6	
18.25	8119.203	294657.4	2.24663	453063.1	
18.5	7548.954	287945.3	2.282747	460345.4	
18.75	7030.444	281347.9	2.318038	467461.4	
19	6558.26	274867.6	2.352519	474413.8	
19.25	6127.618	268506.3	2.386204	481205.7	
19.5	5734.28	262265.2	2.419108	487840.1	
19.75	5374.489	256145.1	2.451245	494320	
20	5044.909	250146.2	2.482631	500648.4	
20.25	4742.575	244268.6	2.513281	506828.3	
20.5	4464.848	238511.8	2.543209	512862.8	
20.75	4209.376	232875.1	2.572431	518754.9	
21	3974.058	227357.8	2.600962	524507.6	
21.25	3757.018	221958.6	2.628816	530123.8	
21.5	3556.577	216676.3	2.656007	535606.5	
21.75	3371.231	211509.5	2.682551	540958.6	
22	3199.628	206456.8	2.708461	546182.9	
22.25	3040.555	201516.4	2.733752	551282.3	
22.5	2892.922	196686.7	2.758438	556259.6	
22.75	2755.745	191965.9	2.782531	561117.6	
23	2628.137	187352.2	2.806045	565858.8	
23.25	2509.297	182843.8	2.828994	570486.1	
23.5	2398.503	178438.8	2.85139	575001.9	
23.75	2295.097	174135.2	2.873247	579408.8	
24	2198.486	169931.1	2.894576	583709.5	
24.25	2108.13	165824.7	2.91539	587906.2	
24.5	2023.54	161814	2.935701	592001.5	
24.75	1944.27	157897.1	2.95552	595997.7	
25	1869.914	154072	2.97486	599897.1	
25.25	1800.101	150336.9	2.99373	603702	
25.5	1734.495	146689.8	3.012143	607414.7	
25.75	1672.787	143128.9	3.03011	611037.3	
26	1614.693	139652.4	3.04764	614571.8	
26.25	1559.956	136258.4	3.064744	618020.6	
26.5	1508.339	132945.1	3.081432	621385.4	
26.75	1459.624	129710.8	3.097714	624668.5	
27	1413.611	126553.6	3.1136	627871.6	
27.25	1370.116	123472	3.1291	630996.8	
27.5	1328.971	120464	3.144222	634045.8	
27.75	1290.02	117528.2	3.158975	637020.6	
28	1253.118	114662.9	3.173369	639922.8	
28.25	1218.134	111866.4	3.187412	642754.3	
28.5	1184.945	109137.1	3.201112	645516.7	
28.75	1153.437	106473.6	3.214478	648211.7	
29	1123.506	103874.3	3.227518	650840.9	
29.25	1095.054	101337.8	3.240239	653406	
29.5	1067.992	98862.42	3.25265	655908.3	
29.75	1042.235	96446.93	3.264757	658349.6	
30	1017.707	94089.85	3.276569	660731.2	
30.25	994.3341	91789.84	3.288092	663054.5	
30.5	972.0503	89545.53	3.299333	665321.1	
30.75	950.7927	87355.62	3.310299	667532.3	
31	930.503	85218.83	3.320997	669689.3	
31.25	911.127	83133.9	3.331434	671793.6	
31.5	892.6139	81099.58	3.341615	673846.5	
31.75	874.9164	79114.69	3.351546	675849	
32	857.9903	77178.05	3.361235	677802.6	
32.25	841.7941	75288.5	3.370687	679708.3	
32.5	826.2891	73444.93	3.379907	681567.4	
32.75	811.439	71646.22	3.388901	683381	
33	797.2098	69891.31	3.397675	685150.1	
33.25	783.5697	68179.15	3.406235	686875.9	
33.5	770.4886	66508.71	3.414584	688559.4	
33.75	757.9385	64878.99	3.422729	690201.6	
34	745.8929	63289.01	3.430674	691803.7	
34.25	734.3271	61737.81	3.438425	693366.4	
34.5	723.2175	60224.46	3.445985	694890.9	
34.75	712.5422	58748.05	3.453361	696378	
35	702.2806	57307.68	3.460555	697828.6	
35.25	692.4129	55902.49	3.467573	699243.6	
35.5	682.9208	54531.62	3.474419	700624	
35.75	673.7869	53194.24	3.481097	701970.5	
36	664.9947	51889.55	3.487611	703284	
36.25	656.5287	50616.74	3.493966	704565.2	
36.5	648.3742	49375.06	3.500164	705815.1	
36.75	640.5174	48163.74	3.506211	707034.2	
37	632.9451	46982.04	3.512109	708223.5	
37.25	625.6449	45829.25	3.517863	709383.6	
37.5	618.6049	44704.67	3.523475	710515.2	
37.75	611.814	43607.61	3.528949	711619	
38	605.2616	42537.4	3.53429	712695.8	
38.25	598.9376	41493.39	3.539499	713746.1	
38.5	592.8325	40474.94	3.54458	714770.7	
38.75	586.9372	39481.42	3.549537	715770.1	
39	581.2431	38512.24	3.554372	716745	
39.25	575.7421	37566.8	3.559088	717695.9	
39.5	570.4262	36644.52	3.563688	718623.5	
39.75	565.2882	35744.83	3.568176	719528.3	
40	560.3208	34867.19	3.572553	720410.9	
40.25	555.5176	34011.05	3.576823	721271.9	
40.5	550.8719	33175.9	3.580988	722111.6	
40.75	546.3777	32361.22	3.585051	722930.8	
41	542.0293	31566.51	3.589014	723729.9	
41.25	537.8209	30791.28	3.592879	724509.3	
41.5	533.7474	30035.06	3.59665	725269.6	
41.75	529.8037	29297.38	3.600328	726011.2	
42	525.9849	28577.8	3.603916	726734.6	
42	522.2865	27875.86	3.607415	727440.2	
