#time	posx	posy	Density Susceptibles	Density Exposed	Density Deceased
0.5	0	0	0.00453999	9.17852e-11	6.71341e-12
0.5	0	1	0.00453999	9.17852e-11	6.71341e-12
0.5	1	0	0.00453999	9.17852e-11	6.71341e-12
0.5	1	1	0.00453999	9.17852e-11	6.71341e-12
0.5	0.5	1	0.673794	2.53179e-05	1.8182e-06
0.5	0.5	0	0.673794	2.53179e-05	1.8182e-06
0.5	0	0.5	0.673794	2.53179e-05	1.8182e-06	
0.5	1	0.5	0.673794	2.53179e-05	1.8182e-06
0.5	0.5	0.5	16.1294	74.9242	1.87986
0.5	0.5	0.2	16.4419	0.145684	0.00683438
0.5	0.5	0.8	16.4419	0.145684	0.00683438
0.5	0	0.2	0.111378	2.74814e-07	2.00419e-08
0.5	0	0.8	0.111378	2.74814e-07	2.00419e-08
0.5	1	0.8	0.111378	2.74814e-07	2.00419e-08	
0.5	1	0.2	0.111378	2.74814e-07	2.00419e-08	
0.5	0.7	0.5	39.6481	2.43331	0.132214
0.5	0.3	0.5	39.6481	2.43331	0.132214
0.5	0.5	0.4	29.126	48.3164	0.998771
0.5	0.5	0.6	29.126	48.3164	0.998771
0.5	0.5	0.1	4.07572	0.00262291	0.000171666
0.5	0.5	0.9	4.07572	0.00262291	0.000171666
