--time	Susceptibles	Exposed	Infected	Recovered	Deaths	
0	753056	2714	0	0	72	
0.25	752795.2	2875.031	4.103664e-05	99.77673	72	
0.5	752519	3045.516	8.378111e-05	205.4718	72	
0.75	752226.6	3225.997	0.000128346	317.4325	72	
1	751916.9	3417.045	0.0001748501	436.0258	72	
1.25	751589.1	3619.265	0.0002234186	561.64	72	
1.5	751242	3833.291	0.0002741838	694.6852	72	
1.75	750874.6	4059.795	0.0003272851	835.5949	72	
2	750485.7	4299.48	0.0003828696	984.8273	72	
2.25	750074	4553.091	0.0004410923	1142.866	72	
2.5	749638.4	4821.407	0.0005021168	1310.223	72	
2.75	749177.3	5105.252	0.0005661154	1487.437	72	
3	748689.4	5405.49	0.00063327	1675.079	72	
3.25	748173.2	5723.028	0.0007037721	1873.749	72	
3.5	747627.1	6058.821	0.0007778234	2084.084	72	
3.75	747049.4	6413.869	0.0008556367	2306.751	72	
4	746438.3	6789.223	0.0009374358	2542.459	72	
4.25	745792.1	7185.983	0.001023456	2791.95	72	
4.5	745108.7	7605.304	0.001113947	3056.012	72	
4.75	744386.1	8048.391	0.001209168	3335.469	72	
5	743622.3	8516.508	0.001309394	3631.194	72	
5.25	742814.9	9010.974	0.001414915	3944.105	72	
5.5	741961.7	9533.168	0.001526032	4275.165	72	
5.75	741060.1	10084.53	0.001643066	4625.392	72	
6	740107.6	10666.55	0.001766351	4995.853	72	
6.25	739101.5	11280.79	0.001896237	5387.671	72	
6.5	738039.1	11928.87	0.002033094	5802.026	72	
6.75	736917.4	12612.48	0.002177307	6240.157	72	
7	735733.3	13333.36	0.00232928	6703.361	72	
7.25	734483.7	14093.32	0.002489436	7193.004	72	
7.5	733165.3	14894.22	0.00265822	7710.514	72	
7.75	731774.6	15737.99	0.002836093	8257.387	72	
8	730308.2	16626.62	0.003023538	8835.19	72	
8.25	728762.3	17562.14	0.003221061	9445.561	72	
8.5	727133.1	18546.66	0.003429186	10090.21	72	
8.75	725416.8	19582.3	0.003648462	10770.93	72	
9	723609.2	20671.25	0.003879457	11489.58	72	
9.25	721706.1	21815.75	0.004122765	12248.11	72	
9.5	719703.4	23018.03	0.004378999	13048.54	72	
9.75	717596.6	24280.39	0.004648797	13892.97	72	
10	715381.3	25605.12	0.004932817	14783.59	72	
10.25	713052.8	26994.53	0.00523174	15722.68	72	
10.5	710606.5	28450.9	0.00554627	16712.57	72	
10.75	708037.8	29976.53	0.005877132	17755.71	72	
11	705341.7	31573.66	0.006225069	18854.6	72	
11.25	702513.6	33244.5	0.006590846	20011.84	72	
11.5	699548.7	34991.2	0.006975246	21230.11	72	
11.75	696442	36815.8	0.007379068	22512.14	72	
12	693188.9	38720.29	0.007803129	23860.76	72	
12.25	689784.7	40706.49	0.008248255	25278.85	72	
12.5	686224.5	42776.1	0.008715289	26769.36	72	
12.75	682504	44930.66	0.009205077	28335.3	72	
13	678618.8	47171.49	0.009718476	29979.72	72	
13.25	674564.6	49499.71	0.01025634	31705.73	72	
13.5	670337.3	51916.18	0.01081954	33516.46	72	
13.75	665933.4	54421.5	0.01140891	35415.08	72	
14	661349.3	57015.94	0.0120253	37404.77	72	
14.25	656581.8	59699.44	0.01266954	39488.71	72	
14.5	651628.3	62471.59	0.01334245	41670.07	72	
14.75	646486.4	65331.57	0.01404482	43952.01	72	
15	641154.2	68278.12	0.0147774	46337.64	72	
15.25	635630.4	71309.57	0.01554092	48830.03	72	
15.5	629914.1	74423.72	0.01633606	51432.16	72	
15.75	624005.1	77617.92	0.01716346	54146.96	72	
16	617903.8	80888.96	0.0180237	56977.21	72	
16.25	611611.3	84233.1	0.01891731	59925.61	72	
16.5	605129.2	87646.05	0.01984472	62994.68	72	
16.75	598460.2	91122.97	0.02080633	66186.8	72	
17	591607.4	94658.43	0.02180243	69504.16	72	
17.25	584574.8	98246.44	0.02283321	72948.74	72	
17.5	577367.2	101880.5	0.0238988	76522.31	72	
