--time	Susceptible	Infected	Recovered	Deaths	
0	753056	2714	0	72	
0.01	753045.9	2714.473	9.663648	72.00001	
0.02	753035.7	2714.947	19.32898	72.00002	
0.03	753025.6	2715.42	28.996	72.00003	
0.04	753015.4	2715.893	38.66471	72.00005	
0.05	753005.3	2716.367	48.33509	72.00006	
0.06	752995.2	2716.84	58.00717	72.00007	
0.07	752985	2717.313	67.68093	72.00008	
0.08	752974.9	2717.786	77.35637	72.00009	
0.09	752964.7	2718.259	87.0335	72.0001	
0.1	752954.6	2718.732	96.71231	72.00011	
0.11	752944.4	2719.205	106.3928	72.00012	
0.12	752934.2	2719.678	116.075	72.00014	
0.13	752924.1	2720.151	125.7588	72.00015	
0.14	752913.9	2720.623	135.4444	72.00016	
0.15	752903.8	2721.096	145.1316	72.00017	
0.16	752893.6	2721.569	154.8205	72.00018	
0.17	752883.4	2722.041	164.5111	72.00019	
0.18	752873.3	2722.514	174.2034	72.0002	
0.19	752863.1	2722.986	183.8974	72.00021	
0.2	752852.9	2723.459	193.593	72.00023	
0.21	752842.8	2723.931	203.2903	72.00024	
0.22	752832.6	2724.403	212.9893	72.00025	
0.23	752822.4	2724.875	222.69	72.00026	
0.24	752812.3	2725.348	232.3924	72.00027	
0.25	752802.1	2725.82	242.0964	72.00028	
0.26	752791.9	2726.292	251.8021	72.00029	
0.27	752781.7	2726.764	261.5096	72.0003	
0.28	752771.5	2727.236	271.2186	72.00032	
0.29	752761.4	2727.708	280.9294	72.00033	
0.3	752751.2	2728.18	290.6419	72.00034	
0.31	752741	2728.651	300.356	72.00035	
0.32	752730.8	2729.123	310.0718	72.00036	
0.33	752720.6	2729.595	319.7893	72.00037	
0.34	752710.4	2730.066	329.5085	72.00038	
0.35	752700.2	2730.538	339.2293	72.0004	
0.36	752690	2731.009	348.9518	72.00041	
0.37	752679.8	2731.481	358.676	72.00042	
0.38	752669.6	2731.952	368.4019	72.00043	
0.39	752659.4	2732.424	378.1295	72.00044	
0.4	752649.2	2732.895	387.8587	72.00045	
0.41	752639	2733.366	397.5896	72.00046	
0.42	752628.8	2733.837	407.3222	72.00047	
0.43	752618.6	2734.308	417.0565	72.00049	
0.44	752608.4	2734.779	426.7925	72.0005	
0.45	752598.2	2735.25	436.5301	72.00051	
0.46	752588	2735.721	446.2694	72.00052	
0.47	752577.8	2736.192	456.0104	72.00053	
0.48	752567.6	2736.663	465.753	72.00054	
0.49	752557.4	2737.134	475.4973	72.00055	
0.5	752547.2	2737.605	485.2434	72.00057	
0.51	752536.9	2738.075	494.991	72.00058	
0.52	752526.7	2738.546	504.7404	72.00059	
0.53	752516.5	2739.016	514.4914	72.0006	
0.54	752506.3	2739.487	524.2441	72.00061	
0.55	752496	2739.957	533.9985	72.00062	
0.56	752485.8	2740.428	543.7546	72.00063	
0.57	752475.6	2740.898	553.5123	72.00065	
0.58	752465.4	2741.368	563.2717	72.00066	
0.59	752455.1	2741.838	573.0328	72.00067	
0.6	752444.9	2742.309	582.7956	72.00068	
0.61	752434.7	2742.779	592.56	72.00069	
0.62	752424.4	2743.249	602.3261	72.0007	
0.63	752414.2	2743.719	612.0939	72.00071	
0.64	752403.9	2744.188	621.8633	72.00072	
0.65	752393.7	2744.658	631.6345	72.00074	
0.66	752383.5	2745.128	641.4073	72.00075	
0.67	752373.2	2745.598	651.1817	72.00076	
0.68	752363	2746.067	660.9579	72.00077	
0.69	752352.7	2746.537	670.7357	72.00078	
0.7	752342.5	2747.007	680.5152	72.00079	
0.71	752332.2	2747.476	690.2963	72.0008	
0.72	752322	2747.945	700.0791	72.00082	
0.73	752311.7	2748.415	709.8636	72.00083	
0.74	752301.5	2748.884	719.6498	72.00084	
0.75	752291.2	2749.353	729.4377	72.00085	
0.76	752280.9	2749.823	739.2272	72.00086	
0.77	752270.7	2750.292	749.0183	72.00087	
0.78	752260.4	2750.761	758.8112	72.00088	
0.79	752250.2	2751.23	768.6057	72.0009	
0.8	752239.9	2751.699	778.4019	72.00091	
0.81	752229.6	2752.168	788.1998	72.00092	
0.82	752219.4	2752.636	797.9993	72.00093	
0.83	752209.1	2753.105	807.8005	72.00094	
0.84	752198.8	2753.574	817.6034	72.00095	
0.85	752188.5	2754.042	827.4079	72.00096	
0.86	752178.3	2754.511	837.2141	72.00098	
0.87	752168	2754.98	847.022	72.00099	
0.88	752157.7	2755.448	856.8315	72.001	
0.89	752147.4	2755.916	866.6427	72.00101	
0.9	752137.2	2756.385	876.4556	72.00102	
0.91	752126.9	2756.853	886.2702	72.00103	
0.92	752116.6	2757.321	896.0864	72.00104	
0.93	752106.3	2757.789	905.9042	72.00106	
0.94	752096	2758.257	915.7238	72.00107	
0.95	752085.7	2758.725	925.545	72.00108	
0.96	752075.4	2759.193	935.3679	72.00109	
0.97	752065.1	2759.661	945.1924	72.0011	
0.98	752054.9	2760.129	955.0186	72.00111	
0.99	752044.6	2760.597	964.8465	72.00112	
1	752034.3	2761.065	974.676	72.00114	
1.01	752024	2761.532	984.5072	72.00115	
1.02	752013.7	2762	994.3401	72.00116	
1.03	752003.4	2762.468	1004.175	72.00117	
1.04	751993.1	2762.935	1014.011	72.00118	
1.05	751982.7	2763.402	1023.849	72.00119	
