--time	Susceptibles	Infected	Recovered	Deaths	
0	753056	2714	0	72	
0.01	753025.3	2734.992	9.700126	72.00001	
0.02	752994.4	2756.144	19.47528	72.00002	
0.03	752963.2	2777.459	29.32603	72.00003	
0.04	752931.8	2798.938	39.25296	72.00005	
0.05	752900.2	2820.581	49.25665	72.00006	
0.06	752868.3	2842.39	59.33769	72.00007	
0.07	752836.1	2864.367	69.49669	72.00008	
0.08	752803.8	2886.512	79.73422	72.00009	
0.09	752771.1	2908.827	90.0509	72.0001	
0.1	752738.2	2931.312	100.4473	72.00012	
0.11	752705.1	2953.971	110.9241	72.00013	
0.12	752671.7	2976.803	121.4819	72.00014	
0.13	752638.1	2999.81	132.1213	72.00015	
0.14	752604.2	3022.993	142.8429	72.00017	
0.15	752570	3046.354	153.6474	72.00018	
0.16	752535.6	3069.893	164.5353	72.00019	
0.17	752500.9	3093.613	175.5074	72.0002	
0.18	752465.9	3117.515	186.5643	72.00022	
0.19	752430.7	3141.6	197.7065	72.00023	
0.2	752395.2	3165.869	208.9349	72.00024	
0.21	752359.4	3190.324	220.25	72.00026	
0.22	752323.4	3214.966	231.6525	72.00027	
0.23	752287.1	3239.796	243.1431	72.00028	
0.24	752250.5	3264.817	254.7224	72.0003	
0.25	752213.6	3290.029	266.3911	72.00031	
0.26	752176.4	3315.434	278.15	72.00032	
0.27	752139	3341.033	289.9996	72.00034	
0.28	752101.2	3366.828	301.9407	72.00035	
0.29	752063.2	3392.821	313.974	72.00037	
0.3	752024.9	3419.012	326.1003	72.00038	
0.31	751986.3	3445.403	338.3201	72.00039	
0.32	751947.4	3471.996	350.6342	72.00041	
0.33	751908.2	3498.792	363.0434	72.00042	
0.34	751868.7	3525.792	375.5483	72.00044	
0.35	751828.9	3552.999	388.1498	72.00045	
0.36	751788.7	3580.414	400.8485	72.00047	
0.37	751748.3	3608.038	413.6451	72.00048	
0.38	751707.6	3635.874	426.5405	72.0005	
0.39	751666.5	3663.921	439.5354	72.00051	
0.4	751625.2	3692.183	452.6305	72.00053	
0.41	751583.5	3720.66	465.8266	72.00054	
