--time	Susceptibles	Exposed	Infected	Recovered	Deaths	
0	753056	2714	0	0	72	
0.01	753045.9	2720.752	1.208144	2.188574	72	
0.02	753035.7	2727.521	2.416881	4.385006	72	
0.03	753025.5	2734.306	3.626215	6.589312	72	
0.04	753015.3	2741.109	4.836154	8.801506	72	
0.05	753005	2747.928	6.046703	11.0216	72	
0.06	752994.7	2754.763	7.257869	13.24962	72	
0.07	752984.4	2761.616	8.469658	15.48556	72	
0.08	752974.1	2768.486	9.682076	17.72946	72	
0.09	752963.8	2775.372	10.89513	19.98131	72	
0.1	752953.4	2782.276	12.10883	22.24114	72	
0.11	752943	2789.196	13.32317	24.50897	72	
0.12	752932.5	2796.134	14.53817	26.7848	72	
0.13	752922.1	2803.089	15.75383	29.06865	72	
0.14	752911.6	2810.06	16.97015	31.36054	72	
0.15	752901.1	2817.049	18.18715	33.66049	72	
0.16	752890.6	2824.056	19.40483	35.9685	72	
0.17	752880	2831.079	20.6232	38.28459	72	
0.18	752869.4	2838.12	21.84225	40.60878	72	
0.19	752858.8	2845.179	23.06201	42.94109	72	
0.2	752848.2	2852.254	24.28247	45.28152	72	
0.21	752837.5	2859.347	25.50364	47.6301	72	
0.22	752826.8	2866.458	26.72553	49.98683	72	
0.23	752816.1	2873.586	27.94814	52.35175	72	
0.24	752805.4	2880.732	29.17149	54.72485	72	
0.25	752794.6	2887.895	30.39557	57.10616	72	
0.26	752783.8	2895.076	31.62039	59.49569	72	
0.27	752773	2902.275	32.84596	61.89346	72	
0.28	752762.1	2909.491	34.07229	64.29948	72	
0.29	752751.3	2916.725	35.29938	66.71378	72	
0.3	752740.4	2923.977	36.52724	69.13636	72	
0.31	752729.4	2931.247	37.75587	71.56723	72	
0.32	752718.5	2938.535	38.98529	74.00643	72	
0.33	752707.5	2945.841	40.21549	76.45396	72	
0.34	752696.5	2953.165	41.44649	78.90984	72	
0.35	752685.4	2960.507	42.67829	81.37409	72	
0.36	752674.4	2967.866	43.91089	83.84671	72	
0.37	752663.3	2975.245	45.14431	86.32774	72	
0.38	752652.2	2982.641	46.37855	88.81717	72	
0.39	752641	2990.055	47.61361	91.31504	72	
0.4	752629.8	2997.488	48.84951	93.82136	72	
0.41	752618.6	3004.939	50.08625	96.33613	72	
0.42	752607.4	3012.408	51.32383	98.85939	72	
0.43	752596.2	3019.896	52.56227	101.3911	72	
0.44	752584.9	3027.402	53.80156	103.9314	72	
0.45	752573.6	3034.927	55.04172	106.4802	72	
0.46	752562.2	3042.47	56.28275	109.0375	72	
0.47	752550.8	3050.032	57.52466	111.6034	72	
0.48	752539.4	3057.613	58.76746	114.1779	72	
0.49	752528	3065.212	60.01114	116.761	72	
0.5	752516.6	3072.83	61.25572	119.3527	72	
0.51	752505.1	3080.466	62.50121	121.953	72	
0.52	752493.6	3088.121	63.74761	124.562	72	
0.53	752482	3095.796	64.99493	127.1796	72	
0.54	752470.5	3103.489	66.24317	129.8059	72	
0.55	752458.9	3111.201	67.49234	132.4409	72	
0.56	752447.2	3118.932	68.74244	135.0847	72	
0.57	752435.6	3126.682	69.9935	137.7371	72	
0.58	752423.9	3134.451	71.2455	140.3983	72	
0.59	752412.2	3142.239	72.49846	143.0683	72	
0.6	752400.5	3150.047	73.75238	145.747	72	
0.61	752388.7	3157.874	75.00727	148.4346	72	
0.62	752376.9	3165.719	76.26314	151.131	72	
0.63	752365.1	3173.585	77.51999	153.8362	72	
0.64	752353.2	3181.469	78.77783	156.5502	72	
0.65	752341.3	3189.373	80.03667	159.2732	72	
0.66	752329.4	3197.297	81.29652	162.005	72	
0.67	752317.5	3205.24	82.55737	164.7457	72	
0.68	752305.5	3213.202	83.81924	167.4954	72	
0.69	752293.5	3221.184	85.08213	170.254	72	
0.7	752281.4	3229.186	86.34605	173.0215	72	
0.71	752269.4	3237.207	87.61101	175.7981	72	
0.72	752257.3	3245.248	88.87701	178.5836	72	
0.73	752245.2	3253.309	90.14406	181.3782	72	
0.74	752233	3261.39	91.41217	184.1817	72	
0.75	752220.8	3269.49	92.68134	186.9944	72	
0.76	752208.6	3277.611	93.95159	189.8161	72	
0.77	752196.4	3285.751	95.2229	192.6468	72	
0.78	752184.1	3293.912	96.49531	195.4867	72	
0.79	752171.8	3302.092	97.7688	198.3357	72	
0.8	752159.5	3310.293	99.04339	201.1939	72	
0.81	752147.1	3318.514	100.3191	204.0612	72	
0.82	752134.7	3326.755	101.5959	206.9377	72	
0.83	752122.3	3335.016	102.8738	209.8234	72	
0.84	752109.8	3343.298	104.1529	212.7183	72	
0.85	752097.3	3351.6	105.433	215.6224	72	
0.86	752084.8	3359.922	106.7143	218.5358	72	
0.87	752072.3	3368.265	107.9968	221.4584	72	
0.88	752059.7	3376.629	109.2804	224.3904	72	
0.89	752047.1	3385.012	110.5652	227.3316	72	
0.9	752034.4	3393.417	111.8511	230.2822	72	
0.91	752021.8	3401.842	113.1382	233.2421	72	
0.92	752009.1	3410.288	114.4265	236.2114	72	
0.93	751996.3	3418.755	115.716	239.1901	72	
0.94	751983.6	3427.242	117.0066	242.1782	72	
0.95	751970.8	3435.75	118.2985	245.1757	72	
0.96	751957.9	3444.279	119.5916	248.1826	72	
0.97	751945.1	3452.83	120.8859	251.199	72	
0.98	751932.2	3461.401	122.1814	254.2249	72	
0.99	751919.3	3469.993	123.4781	257.2603	72.00001	
1	751906.3	3478.606	124.7761	260.3052	72.00001	
1.01	751893.3	3487.241	126.0753	263.3597	72.00001	
1.02	751880.3	3495.896	127.3757	266.4237	72.00001	
1.03	751867.3	3504.573	128.6774	269.4973	72.00001	
1.04	751854.2	3513.271	129.9804	272.5805	72.00001	
1.05	751841.1	3521.991	131.2846	275.6733	72.00001	
1.06	751827.9	3530.732	132.5901	278.7757	72.00001	
1.07	751814.7	3539.494	133.8969	281.8878	72.00001	
1.08	751801.5	3548.278	135.205	285.0096	72.00001	
1.09	751788.3	3557.084	136.5144	288.141	72.00001	
1.1	751775	3565.911	137.8251	291.2822	72.00001	
1.11	751761.7	3574.76	139.1371	294.4331	72.00001	
1.12	751748.3	3583.63	140.4504	297.5938	72.00001	
1.13	751734.9	3592.523	141.765	300.7643	72.00001	
1.14	751721.5	3601.437	143.081	303.9445	72.00001	
1.15	751708.1	3610.373	144.3983	307.1346	72.00001	
1.16	751694.6	3619.331	145.717	310.3345	72.00001	
1.17	751681.1	3628.311	147.037	313.5443	72.00001	
1.18	751667.6	3637.313	148.3583	316.7639	72.00001	
1.19	751654	3646.337	149.6811	319.9935	72.00001	
1.2	751640.4	3655.383	151.0052	323.2329	72.00001	
1.21	751626.7	3664.451	152.3307	326.4823	72.00001	
1.22	751613.1	3673.542	153.6575	329.7417	72.00001	
1.23	751599.3	3682.655	154.9858	333.011	72.00001	
1.24	751585.6	3691.79	156.3155	336.2904	72.00001	
1.25	751571.8	3700.948	157.6466	339.5798	72.00001	
1.26	751558	3710.128	158.9791	342.8792	72.00001	
1.27	751544.2	3719.331	160.313	346.1887	72.00001	
1.28	751530.3	3728.556	161.6484	349.5082	72.00001	
1.29	751516.4	3737.804	162.9852	352.8379	72.00001	
1.3	751502.4	3747.074	164.3234	356.1777	72.00001	
1.31	751488.4	3756.368	165.6631	359.5277	72.00001	
1.32	751474.4	3765.684	167.0043	362.8878	72.00001	
1.33	751460.4	3775.023	168.3469	366.2581	72.00001	
1.34	751446.3	3784.385	169.691	369.6386	72.00001	
1.35	751432.2	3793.769	171.0366	373.0294	72.00001	
1.36	751418	3803.177	172.3836	376.4304	72.00001	
1.37	751403.8	3812.608	173.7322	379.8417	72.00001	
1.38	751389.6	3822.062	175.0823	383.2633	72.00001	
1.39	751375.3	3831.539	176.4338	386.6952	72.00001	
1.4	751361	3841.039	177.7869	390.1375	72.00001	
1.41	751346.7	3850.563	179.1416	393.5901	72.00001	
1.42	751332.3	3860.11	180.4977	397.0531	72.00001	
1.43	751317.9	3869.68	181.8554	400.5265	72.00001	
1.44	751303.5	3879.274	183.2147	404.0104	72.00001	
1.45	751289	3888.891	184.5755	407.5047	72.00001	
1.46	751274.5	3898.532	185.9378	411.0095	72.00001	
1.47	751260	3908.197	187.3017	414.5247	72.00001	
1.48	751245.4	3917.885	188.6673	418.0505	72.00001	
1.49	751230.8	3927.597	190.0343	421.5869	72.00001	
1.5	751216.1	3937.333	191.403	425.1338	72.00001	
1.51	751201.4	3947.092	192.7733	428.6912	72.00001	
1.52	751186.7	3956.876	194.1452	432.2593	72.00001	
1.53	751172	3966.683	195.5187	435.8381	72.00001	
1.54	751157.2	3976.514	196.8938	439.4274	72.00001	
1.55	751142.3	3986.37	198.2706	443.0275	72.00001	
1.56	751127.5	3996.25	199.649	446.6382	72.00001	
1.57	751112.6	4006.153	201.029	450.2597	72.00001	
1.58	751097.6	4016.082	202.4107	453.8919	72.00001	
1.59	751082.6	4026.034	203.794	457.5349	72.00001	
1.6	751067.6	4036.011	205.179	461.1886	72.00001	
1.61	751052.6	4046.012	206.5657	464.8532	72.00001	
1.62	751037.5	4056.037	207.9541	468.5286	72.00001	
1.63	751022.4	4066.088	209.3442	472.2149	72.00001	
1.64	751007.2	4076.162	210.7359	475.912	72.00001	
1.65	750992	4086.262	212.1294	479.6201	72.00001	
1.66	750976.8	4096.386	213.5245	483.3391	72.00001	
1.67	750961.5	4106.535	214.9214	487.069	72.00001	
1.68	750946.2	4116.709	216.32	490.8099	72.00001	
1.69	750930.8	4126.907	217.7204	494.5618	72.00001	
1.7	750915.4	4137.131	219.1225	498.3248	72.00002	
1.71	750900	4147.379	220.5263	502.0988	72.00002	
1.72	750884.5	4157.653	221.9319	505.8838	72.00002	
1.73	750869	4167.952	223.3393	509.6799	72.00002	
1.74	750853.5	4178.276	224.7484	513.4872	72.00002	
1.75	750837.9	4188.625	226.1593	517.3056	72.00002	
1.76	750822.3	4199	227.572	521.1352	72.00002	
1.77	750806.6	4209.4	228.9865	524.9759	72.00002	
1.78	750790.9	4219.825	230.4028	528.8279	72.00002	
1.79	750775.2	4230.276	231.8209	532.6911	72.00002	
1.8	750759.4	4240.752	233.2408	536.5655	72.00002	
1.81	750743.6	4251.254	234.6626	540.4513	72.00002	
1.82	750727.8	4261.782	236.0862	544.3483	72.00002	
1.83	750711.9	4272.335	237.5116	548.2567	72.00002	
1.84	750696	4282.914	238.9389	552.1765	72.00002	
1.85	750680	4293.519	240.368	556.1076	72.00002	
1.86	750664	4304.15	241.799	560.0501	72.00002	
1.87	750648	4314.807	243.2319	564.0041	72.00002	
1.88	750631.9	4325.49	244.6667	567.9695	72.00002	
1.89	750615.8	4336.2	246.1033	571.9464	72.00002	
1.9	750599.6	4346.935	247.5419	575.9348	72.00002	
1.91	750583.4	4357.696	248.9823	579.9348	72.00002	
1.92	750567.1	4368.484	250.4247	583.9463	72.00002	
1.93	750550.9	4379.298	251.869	587.9694	72.00002	
1.94	750534.5	4390.139	253.3152	592.004	72.00002	
1.95	750518.2	4401.006	254.7633	596.0504	72.00002	
1.96	750501.8	4411.899	256.2134	600.1083	72.00002	
1.97	750485.3	4422.82	257.6654	604.178	72.00002	
1.98	750468.9	4433.766	259.1195	608.2593	72.00002	
1.99	750452.3	4444.74	260.5754	612.3524	72.00002	
2	750435.8	4455.74	262.0334	616.4573	72.00002	
2.01	750419.2	4466.768	263.4933	620.5739	72.00002	
2.02	750402.5	4477.822	264.9552	624.7024	72.00002	
2.03	750385.8	4488.903	266.4191	628.8426	72.00002	
2.04	750369.1	4500.011	267.8851	632.9948	72.00002	
2.05	750352.3	4511.146	269.353	637.1588	72.00002	
2.06	750335.5	4522.309	270.823	641.3348	72.00002	
2.07	750318.7	4533.498	272.295	645.5226	72.00002	
2.08	750301.8	4544.716	273.769	649.7225	72.00002	
2.09	750284.9	4555.96	275.2451	653.9343	72.00002	
2.1	750267.9	4567.232	276.7232	658.1581	72.00002	
2.11	750250.9	4578.531	278.2035	662.394	72.00002	
2.12	750233.8	4589.858	279.6857	666.642	72.00002	
2.13	750216.7	4601.213	281.1701	670.9021	72.00002	
2.14	750199.6	4612.595	282.6565	675.1742	72.00002	
